method,frac_removed,prob,example_idx
ATTN,0.05,0.9439475536346436,81
ATTN,0.1,0.9438823461532593,81
ATTN,0.2,0.9469411373138428,81
ATTN,0.3,0.950844943523407,81
ATTN,0.5,0.9498695731163025,81
ATTN,0.0,0.44069838523864746,82
ATTN,0.05,0.27317720651626587,82
ATTN,0.1,0.25393417477607727,82
ATTN,0.2,0.03420577570796013,82
ATTN,0.3,0.13645251095294952,82
ATTN,0.5,0.44711562991142273,82
ATTN,0.0,0.9164326190948486,83
ATTN,0.05,0.907230794429779,83
ATTN,0.1,0.9158459901809692,83
ATTN,0.2,0.9280601739883423,83
ATTN,0.3,0.9113609194755554,83
ATTN,0.5,0.9326686263084412,83
ATTN,0.0,0.587405264377594,84
ATTN,0.05,0.6166787147521973,84
ATTN,0.1,0.24507348239421844,84
ATTN,0.2,0.07266093790531158,84
ATTN,0.3,0.0379745289683342,84
ATTN,0.5,0.02386564388871193,84
ATTN,0.0,0.7706348299980164,85
ATTN,0.05,0.5470629334449768,85
ATTN,0.1,0.48238101601600647,85
ATTN,0.2,0.8559123873710632,85
ATTN,0.3,0.8486640453338623,85
ATTN,0.5,0.8998962640762329,85
ATTN,0.0,0.6240969300270081,86
ATTN,0.05,0.5903500318527222,86
ATTN,0.1,0.7930667996406555,86
ATTN,0.2,0.7203237414360046,86
ATTN,0.3,0.762153685092926,86
ATTN,0.5,0.2649666965007782,86
ATTN,0.0,0.8808848261833191,87
ATTN,0.05,0.890352725982666,87
ATTN,0.1,0.8979564905166626,87
ATTN,0.2,0.9010652899742126,87
ATTN,0.3,0.8876863718032837,87
ATTN,0.5,0.354915976524353,87
ATTN,0.0,0.6679190397262573,88
ATTN,0.05,0.7839023470878601,88
ATTN,0.1,0.6115089058876038,88
ATTN,0.2,0.5723535418510437,88
ATTN,0.3,0.7579752802848816,88
ATTN,0.5,0.6452204585075378,88
ATTN,0.0,0.9233621954917908,89
ATTN,0.05,0.9231707453727722,89
ATTN,0.1,0.9209415316581726,89
ATTN,0.2,0.9195222854614258,89
ATTN,0.3,0.8685959577560425,89
ATTN,0.5,0.9140228033065796,89
ATTN,0.0,0.5454805493354797,90
ATTN,0.05,0.5328502655029297,90
ATTN,0.1,0.5269424915313721,90
ATTN,0.2,0.6819295883178711,90
ATTN,0.3,0.6633322834968567,90
ATTN,0.5,0.865123987197876,90
ATTN,0.0,0.6508419513702393,91
ATTN,0.05,0.5295270681381226,91
ATTN,0.1,0.45564961433410645,91
ATTN,0.2,0.6578648090362549,91
ATTN,0.3,0.3024890720844269,91
ATTN,0.5,0.30749720335006714,91
ATTN,0.0,0.5181061029434204,92
ATTN,0.05,0.2759452760219574,92
ATTN,0.1,0.2673255205154419,92
ATTN,0.2,0.30680832266807556,92
ATTN,0.3,0.5752953290939331,92
ATTN,0.5,0.8872277736663818,92
ATTN,0.0,0.9386342167854309,93
ATTN,0.05,0.9386342167854309,93
ATTN,0.1,0.9333757162094116,93
ATTN,0.2,0.9334766864776611,93
ATTN,0.3,0.9307903051376343,93
ATTN,0.5,0.9029403328895569,93
ATTN,0.0,0.845201849937439,94
ATTN,0.05,0.811653733253479,94
ATTN,0.1,0.8664922714233398,94
ATTN,0.2,0.9109312891960144,94
ATTN,0.3,0.8554551601409912,94
